"species","confidence_threshold","TP","FP","TN","FN","TPR","FPR","recall","precision","F_score1","F_score2","F_score3"
"Sterna hirundo",0.18,0,0,180,0,NA,0,NA,NA,NA,NA,NA
"Sterna hirundo",0.19,0,0,180,0,NA,0,NA,NA,NA,NA,NA
"Sterna hirundo",0.2,0,0,180,0,NA,0,NA,NA,NA,NA,NA
"Sterna hirundo",0.21,0,0,180,0,NA,0,NA,NA,NA,NA,NA
"Sterna hirundo",0.22,0,0,180,0,NA,0,NA,NA,NA,NA,NA
"Sterna hirundo",0.23,0,0,180,0,NA,0,NA,NA,NA,NA,NA
"Sterna hirundo",0.24,0,0,180,0,NA,0,NA,NA,NA,NA,NA
"Sterna hirundo",0.25,0,0,180,0,NA,0,NA,NA,NA,NA,NA
"Sterna hirundo",0.26,0,0,180,0,NA,0,NA,NA,NA,NA,NA
"Sterna hirundo",0.27,0,0,180,0,NA,0,NA,NA,NA,NA,NA
"Sterna hirundo",0.28,0,0,180,0,NA,0,NA,NA,NA,NA,NA
"Sterna hirundo",0.29,0,0,180,0,NA,0,NA,NA,NA,NA,NA
"Sterna hirundo",0.3,0,0,180,0,NA,0,NA,NA,NA,NA,NA
"Sterna hirundo",0.31,0,0,180,0,NA,0,NA,NA,NA,NA,NA
"Sterna hirundo",0.32,0,0,180,0,NA,0,NA,NA,NA,NA,NA
"Sterna hirundo",0.33,0,0,180,0,NA,0,NA,NA,NA,NA,NA
"Sterna hirundo",0.34,0,0,180,0,NA,0,NA,NA,NA,NA,NA
"Sterna hirundo",0.35,0,0,180,0,NA,0,NA,NA,NA,NA,NA
"Sterna hirundo",0.36,0,0,180,0,NA,0,NA,NA,NA,NA,NA
"Sterna hirundo",0.37,0,0,180,0,NA,0,NA,NA,NA,NA,NA
"Sterna hirundo",0.38,0,0,180,0,NA,0,NA,NA,NA,NA,NA
"Sterna hirundo",0.39,0,0,180,0,NA,0,NA,NA,NA,NA,NA
"Sterna hirundo",0.4,0,0,180,0,NA,0,NA,NA,NA,NA,NA
"Sterna hirundo",0.41,0,0,180,0,NA,0,NA,NA,NA,NA,NA
"Sterna hirundo",0.42,0,0,180,0,NA,0,NA,NA,NA,NA,NA
"Sterna hirundo",0.43,0,0,180,0,NA,0,NA,NA,NA,NA,NA
"Sterna hirundo",0.44,0,0,180,0,NA,0,NA,NA,NA,NA,NA
"Sterna hirundo",0.45,0,0,180,0,NA,0,NA,NA,NA,NA,NA
"Sterna hirundo",0.46,0,0,180,0,NA,0,NA,NA,NA,NA,NA
"Sterna hirundo",0.47,0,0,180,0,NA,0,NA,NA,NA,NA,NA
"Sterna hirundo",0.48,0,0,180,0,NA,0,NA,NA,NA,NA,NA
"Sterna hirundo",0.49,0,0,180,0,NA,0,NA,NA,NA,NA,NA
"Sterna hirundo",0.5,0,0,180,0,NA,0,NA,NA,NA,NA,NA
"Sterna hirundo",0.51,0,0,180,0,NA,0,NA,NA,NA,NA,NA
"Sterna hirundo",0.52,0,0,180,0,NA,0,NA,NA,NA,NA,NA
"Sterna hirundo",0.53,0,0,180,0,NA,0,NA,NA,NA,NA,NA
"Sterna hirundo",0.54,0,0,180,0,NA,0,NA,NA,NA,NA,NA
"Sterna hirundo",0.55,0,0,180,0,NA,0,NA,NA,NA,NA,NA
"Sterna hirundo",0.56,0,0,180,0,NA,0,NA,NA,NA,NA,NA
"Sterna hirundo",0.57,0,0,180,0,NA,0,NA,NA,NA,NA,NA
"Sterna hirundo",0.58,0,0,180,0,NA,0,NA,NA,NA,NA,NA
"Sterna hirundo",0.59,0,0,180,0,NA,0,NA,NA,NA,NA,NA
"Sterna hirundo",0.6,0,0,180,0,NA,0,NA,NA,NA,NA,NA
"Sterna hirundo",0.61,0,0,180,0,NA,0,NA,NA,NA,NA,NA
"Sterna hirundo",0.62,0,0,180,0,NA,0,NA,NA,NA,NA,NA
"Sterna hirundo",0.63,0,0,180,0,NA,0,NA,NA,NA,NA,NA
"Sterna hirundo",0.64,0,0,180,0,NA,0,NA,NA,NA,NA,NA
"Sterna hirundo",0.65,0,0,180,0,NA,0,NA,NA,NA,NA,NA
"Sterna hirundo",0.66,0,0,180,0,NA,0,NA,NA,NA,NA,NA
"Sterna hirundo",0.67,0,0,180,0,NA,0,NA,NA,NA,NA,NA
"Sterna hirundo",0.68,0,0,180,0,NA,0,NA,NA,NA,NA,NA
"Sterna hirundo",0.69,0,0,180,0,NA,0,NA,NA,NA,NA,NA
"Sterna hirundo",0.7,0,0,180,0,NA,0,NA,NA,NA,NA,NA
"Sterna hirundo",0.71,0,0,180,0,NA,0,NA,NA,NA,NA,NA
"Sterna hirundo",0.72,0,0,180,0,NA,0,NA,NA,NA,NA,NA
"Sterna hirundo",0.73,0,0,180,0,NA,0,NA,NA,NA,NA,NA
"Sterna hirundo",0.74,0,0,180,0,NA,0,NA,NA,NA,NA,NA
"Sterna hirundo",0.75,0,0,180,0,NA,0,NA,NA,NA,NA,NA
"Sterna hirundo",0.76,0,0,180,0,NA,0,NA,NA,NA,NA,NA
"Sterna hirundo",0.77,0,0,180,0,NA,0,NA,NA,NA,NA,NA
"Sterna hirundo",0.78,0,0,180,0,NA,0,NA,NA,NA,NA,NA
"Sterna hirundo",0.79,0,0,180,0,NA,0,NA,NA,NA,NA,NA
"Sterna hirundo",0.8,0,0,180,0,NA,0,NA,NA,NA,NA,NA
"Sterna hirundo",0.81,0,0,180,0,NA,0,NA,NA,NA,NA,NA
"Sterna hirundo",0.82,0,0,180,0,NA,0,NA,NA,NA,NA,NA
"Sterna hirundo",0.83,0,0,180,0,NA,0,NA,NA,NA,NA,NA
"Sterna hirundo",0.84,0,0,180,0,NA,0,NA,NA,NA,NA,NA
"Sterna hirundo",0.85,0,0,180,0,NA,0,NA,NA,NA,NA,NA
"Sterna hirundo",0.86,0,0,180,0,NA,0,NA,NA,NA,NA,NA
"Sterna hirundo",0.87,0,0,180,0,NA,0,NA,NA,NA,NA,NA
"Sterna hirundo",0.88,0,0,180,0,NA,0,NA,NA,NA,NA,NA
"Sterna hirundo",0.89,0,0,180,0,NA,0,NA,NA,NA,NA,NA
"Sterna hirundo",0.9,0,0,180,0,NA,0,NA,NA,NA,NA,NA
"Sterna hirundo",0.91,0,0,180,0,NA,0,NA,NA,NA,NA,NA
"Sterna hirundo",0.92,0,0,180,0,NA,0,NA,NA,NA,NA,NA
"Sterna hirundo",0.93,0,0,180,0,NA,0,NA,NA,NA,NA,NA
"Sterna hirundo",0.94,0,0,180,0,NA,0,NA,NA,NA,NA,NA
"Sterna hirundo",0.95,0,0,180,0,NA,0,NA,NA,NA,NA,NA
"Sterna hirundo",0.96,0,0,180,0,NA,0,NA,NA,NA,NA,NA
"Sterna hirundo",0.97,0,0,180,0,NA,0,NA,NA,NA,NA,NA
"Sterna hirundo",0.98,0,0,180,0,NA,0,NA,NA,NA,NA,NA
"Sterna hirundo",0.99,0,0,180,0,NA,0,NA,NA,NA,NA,NA
"Streptopelia decaocto",0.1,0,0,157,23,0,0,0,NA,NA,NA,NA
"Streptopelia decaocto",0.11,0,0,157,23,0,0,0,NA,NA,NA,NA
"Streptopelia decaocto",0.12,0,0,157,23,0,0,0,NA,NA,NA,NA
"Streptopelia decaocto",0.13,0,0,157,23,0,0,0,NA,NA,NA,NA
"Streptopelia decaocto",0.14,0,0,157,23,0,0,0,NA,NA,NA,NA
"Streptopelia decaocto",0.15,0,0,157,23,0,0,0,NA,NA,NA,NA
"Streptopelia decaocto",0.16,0,0,157,23,0,0,0,NA,NA,NA,NA
"Streptopelia decaocto",0.17,0,0,157,23,0,0,0,NA,NA,NA,NA
"Streptopelia decaocto",0.18,0,0,157,23,0,0,0,NA,NA,NA,NA
"Streptopelia decaocto",0.19,0,0,157,23,0,0,0,NA,NA,NA,NA
"Streptopelia decaocto",0.2,0,0,157,23,0,0,0,NA,NA,NA,NA
"Streptopelia decaocto",0.21,0,0,157,23,0,0,0,NA,NA,NA,NA
"Streptopelia decaocto",0.22,0,0,157,23,0,0,0,NA,NA,NA,NA
"Streptopelia decaocto",0.23,0,0,157,23,0,0,0,NA,NA,NA,NA
"Streptopelia decaocto",0.24,0,0,157,23,0,0,0,NA,NA,NA,NA
"Streptopelia decaocto",0.25,0,0,157,23,0,0,0,NA,NA,NA,NA
"Streptopelia decaocto",0.26,0,0,157,23,0,0,0,NA,NA,NA,NA
"Streptopelia decaocto",0.27,0,0,157,23,0,0,0,NA,NA,NA,NA
"Streptopelia decaocto",0.28,0,0,157,23,0,0,0,NA,NA,NA,NA
"Streptopelia decaocto",0.29,0,0,157,23,0,0,0,NA,NA,NA,NA
"Streptopelia decaocto",0.3,0,0,157,23,0,0,0,NA,NA,NA,NA
"Streptopelia decaocto",0.31,0,0,157,23,0,0,0,NA,NA,NA,NA
"Streptopelia decaocto",0.32,0,0,157,23,0,0,0,NA,NA,NA,NA
"Streptopelia decaocto",0.33,0,0,157,23,0,0,0,NA,NA,NA,NA
"Streptopelia decaocto",0.34,0,0,157,23,0,0,0,NA,NA,NA,NA
"Streptopelia decaocto",0.35,0,0,157,23,0,0,0,NA,NA,NA,NA
"Streptopelia decaocto",0.36,0,0,157,23,0,0,0,NA,NA,NA,NA
"Streptopelia decaocto",0.37,0,0,157,23,0,0,0,NA,NA,NA,NA
"Streptopelia decaocto",0.38,0,0,157,23,0,0,0,NA,NA,NA,NA
"Streptopelia decaocto",0.39,0,0,157,23,0,0,0,NA,NA,NA,NA
"Streptopelia decaocto",0.4,0,0,157,23,0,0,0,NA,NA,NA,NA
"Streptopelia decaocto",0.41,0,0,157,23,0,0,0,NA,NA,NA,NA
"Streptopelia decaocto",0.42,0,0,157,23,0,0,0,NA,NA,NA,NA
"Streptopelia decaocto",0.43,0,0,157,23,0,0,0,NA,NA,NA,NA
"Streptopelia decaocto",0.44,0,0,157,23,0,0,0,NA,NA,NA,NA
"Streptopelia decaocto",0.45,0,0,157,23,0,0,0,NA,NA,NA,NA
"Streptopelia decaocto",0.46,0,0,157,23,0,0,0,NA,NA,NA,NA
"Streptopelia decaocto",0.47,0,0,157,23,0,0,0,NA,NA,NA,NA
"Streptopelia decaocto",0.48,0,0,157,23,0,0,0,NA,NA,NA,NA
"Streptopelia decaocto",0.49,0,0,157,23,0,0,0,NA,NA,NA,NA
"Streptopelia decaocto",0.5,0,0,157,23,0,0,0,NA,NA,NA,NA
"Streptopelia decaocto",0.51,0,0,157,23,0,0,0,NA,NA,NA,NA
"Streptopelia decaocto",0.52,0,0,157,23,0,0,0,NA,NA,NA,NA
"Streptopelia decaocto",0.53,0,0,157,23,0,0,0,NA,NA,NA,NA
"Streptopelia decaocto",0.54,0,0,157,23,0,0,0,NA,NA,NA,NA
"Streptopelia decaocto",0.55,0,0,157,23,0,0,0,NA,NA,NA,NA
"Streptopelia decaocto",0.56,0,0,157,23,0,0,0,NA,NA,NA,NA
"Streptopelia decaocto",0.57,0,0,157,23,0,0,0,NA,NA,NA,NA
"Streptopelia decaocto",0.58,0,0,157,23,0,0,0,NA,NA,NA,NA
"Streptopelia decaocto",0.59,0,0,157,23,0,0,0,NA,NA,NA,NA
"Streptopelia decaocto",0.6,0,0,157,23,0,0,0,NA,NA,NA,NA
"Streptopelia decaocto",0.61,0,0,157,23,0,0,0,NA,NA,NA,NA
"Streptopelia decaocto",0.62,0,0,157,23,0,0,0,NA,NA,NA,NA
"Streptopelia decaocto",0.63,0,0,157,23,0,0,0,NA,NA,NA,NA
"Streptopelia decaocto",0.64,0,0,157,23,0,0,0,NA,NA,NA,NA
"Streptopelia decaocto",0.65,0,0,157,23,0,0,0,NA,NA,NA,NA
"Streptopelia decaocto",0.66,0,0,157,23,0,0,0,NA,NA,NA,NA
"Streptopelia decaocto",0.67,0,0,157,23,0,0,0,NA,NA,NA,NA
"Streptopelia decaocto",0.68,0,0,157,23,0,0,0,NA,NA,NA,NA
"Streptopelia decaocto",0.69,0,0,157,23,0,0,0,NA,NA,NA,NA
"Streptopelia decaocto",0.7,0,0,157,23,0,0,0,NA,NA,NA,NA
"Streptopelia decaocto",0.71,0,0,157,23,0,0,0,NA,NA,NA,NA
"Streptopelia decaocto",0.72,0,0,157,23,0,0,0,NA,NA,NA,NA
"Streptopelia decaocto",0.73,0,0,157,23,0,0,0,NA,NA,NA,NA
"Streptopelia decaocto",0.74,0,0,157,23,0,0,0,NA,NA,NA,NA
"Streptopelia decaocto",0.75,0,0,157,23,0,0,0,NA,NA,NA,NA
"Streptopelia decaocto",0.76,0,0,157,23,0,0,0,NA,NA,NA,NA
"Streptopelia decaocto",0.77,0,0,157,23,0,0,0,NA,NA,NA,NA
"Streptopelia decaocto",0.78,0,0,157,23,0,0,0,NA,NA,NA,NA
"Streptopelia decaocto",0.79,0,0,157,23,0,0,0,NA,NA,NA,NA
"Streptopelia decaocto",0.8,0,0,157,23,0,0,0,NA,NA,NA,NA
"Streptopelia decaocto",0.81,0,0,157,23,0,0,0,NA,NA,NA,NA
"Streptopelia decaocto",0.82,0,0,157,23,0,0,0,NA,NA,NA,NA
"Streptopelia decaocto",0.83,0,0,157,23,0,0,0,NA,NA,NA,NA
"Streptopelia decaocto",0.84,0,0,157,23,0,0,0,NA,NA,NA,NA
"Streptopelia decaocto",0.85,0,0,157,23,0,0,0,NA,NA,NA,NA
"Streptopelia decaocto",0.86,0,0,157,23,0,0,0,NA,NA,NA,NA
"Streptopelia decaocto",0.87,0,0,157,23,0,0,0,NA,NA,NA,NA
"Streptopelia decaocto",0.88,0,0,157,23,0,0,0,NA,NA,NA,NA
"Streptopelia decaocto",0.89,0,0,157,23,0,0,0,NA,NA,NA,NA
"Streptopelia decaocto",0.9,0,0,157,23,0,0,0,NA,NA,NA,NA
"Streptopelia decaocto",0.91,0,0,157,23,0,0,0,NA,NA,NA,NA
"Streptopelia decaocto",0.92,0,0,157,23,0,0,0,NA,NA,NA,NA
"Streptopelia decaocto",0.93,0,0,157,23,0,0,0,NA,NA,NA,NA
"Streptopelia decaocto",0.94,0,0,157,23,0,0,0,NA,NA,NA,NA
"Streptopelia decaocto",0.95,0,0,157,23,0,0,0,NA,NA,NA,NA
"Streptopelia decaocto",0.96,0,0,157,23,0,0,0,NA,NA,NA,NA
"Streptopelia decaocto",0.97,0,0,157,23,0,0,0,NA,NA,NA,NA
"Streptopelia decaocto",0.98,0,0,157,23,0,0,0,NA,NA,NA,NA
"Streptopelia decaocto",0.99,0,0,157,23,0,0,0,NA,NA,NA,NA
"Streptopelia turtur",0.1,3,0,171,6,0.333333333333333,0,0.333333333333333,1,0.5,0.894736842105263,0.980582524271845
"Streptopelia turtur",0.11,3,0,171,6,0.333333333333333,0,0.333333333333333,1,0.5,0.894736842105263,0.980582524271845
"Streptopelia turtur",0.12,3,0,171,6,0.333333333333333,0,0.333333333333333,1,0.5,0.894736842105263,0.980582524271845
"Streptopelia turtur",0.13,3,0,171,6,0.333333333333333,0,0.333333333333333,1,0.5,0.894736842105263,0.980582524271845
"Streptopelia turtur",0.14,3,0,171,6,0.333333333333333,0,0.333333333333333,1,0.5,0.894736842105263,0.980582524271845
"Streptopelia turtur",0.15,3,0,171,6,0.333333333333333,0,0.333333333333333,1,0.5,0.894736842105263,0.980582524271845
"Streptopelia turtur",0.16,3,0,171,6,0.333333333333333,0,0.333333333333333,1,0.5,0.894736842105263,0.980582524271845
"Streptopelia turtur",0.17,3,0,171,6,0.333333333333333,0,0.333333333333333,1,0.5,0.894736842105263,0.980582524271845
"Streptopelia turtur",0.18,3,0,171,6,0.333333333333333,0,0.333333333333333,1,0.5,0.894736842105263,0.980582524271845
"Streptopelia turtur",0.19,3,0,171,6,0.333333333333333,0,0.333333333333333,1,0.5,0.894736842105263,0.980582524271845
"Streptopelia turtur",0.2,3,0,171,6,0.333333333333333,0,0.333333333333333,1,0.5,0.894736842105263,0.980582524271845
"Streptopelia turtur",0.21,3,0,171,6,0.333333333333333,0,0.333333333333333,1,0.5,0.894736842105263,0.980582524271845
"Streptopelia turtur",0.22,3,0,171,6,0.333333333333333,0,0.333333333333333,1,0.5,0.894736842105263,0.980582524271845
"Streptopelia turtur",0.23,2,0,171,7,0.222222222222222,0,0.222222222222222,1,0.363636363636364,0.829268292682927,0.966507177033493
"Streptopelia turtur",0.24,2,0,171,7,0.222222222222222,0,0.222222222222222,1,0.363636363636364,0.829268292682927,0.966507177033493
"Streptopelia turtur",0.25,2,0,171,7,0.222222222222222,0,0.222222222222222,1,0.363636363636364,0.829268292682927,0.966507177033493
"Streptopelia turtur",0.26,2,0,171,7,0.222222222222222,0,0.222222222222222,1,0.363636363636364,0.829268292682927,0.966507177033493
"Streptopelia turtur",0.27,2,0,171,7,0.222222222222222,0,0.222222222222222,1,0.363636363636364,0.829268292682927,0.966507177033493
"Streptopelia turtur",0.28,2,0,171,7,0.222222222222222,0,0.222222222222222,1,0.363636363636364,0.829268292682927,0.966507177033493
"Streptopelia turtur",0.29,2,0,171,7,0.222222222222222,0,0.222222222222222,1,0.363636363636364,0.829268292682927,0.966507177033493
"Streptopelia turtur",0.3,2,0,171,7,0.222222222222222,0,0.222222222222222,1,0.363636363636364,0.829268292682927,0.966507177033493
"Streptopelia turtur",0.31,2,0,171,7,0.222222222222222,0,0.222222222222222,1,0.363636363636364,0.829268292682927,0.966507177033493
"Streptopelia turtur",0.32,2,0,171,7,0.222222222222222,0,0.222222222222222,1,0.363636363636364,0.829268292682927,0.966507177033493
"Streptopelia turtur",0.33,2,0,171,7,0.222222222222222,0,0.222222222222222,1,0.363636363636364,0.829268292682927,0.966507177033493
"Streptopelia turtur",0.34,1,0,171,8,0.111111111111111,0,0.111111111111111,1,0.2,0.68,0.926605504587156
"Streptopelia turtur",0.35,1,0,171,8,0.111111111111111,0,0.111111111111111,1,0.2,0.68,0.926605504587156
"Streptopelia turtur",0.36,1,0,171,8,0.111111111111111,0,0.111111111111111,1,0.2,0.68,0.926605504587156
"Streptopelia turtur",0.37,1,0,171,8,0.111111111111111,0,0.111111111111111,1,0.2,0.68,0.926605504587156
"Streptopelia turtur",0.38,1,0,171,8,0.111111111111111,0,0.111111111111111,1,0.2,0.68,0.926605504587156
"Streptopelia turtur",0.39,1,0,171,8,0.111111111111111,0,0.111111111111111,1,0.2,0.68,0.926605504587156
"Streptopelia turtur",0.4,1,0,171,8,0.111111111111111,0,0.111111111111111,1,0.2,0.68,0.926605504587156
"Streptopelia turtur",0.41,1,0,171,8,0.111111111111111,0,0.111111111111111,1,0.2,0.68,0.926605504587156
"Streptopelia turtur",0.42,1,0,171,8,0.111111111111111,0,0.111111111111111,1,0.2,0.68,0.926605504587156
"Streptopelia turtur",0.43,1,0,171,8,0.111111111111111,0,0.111111111111111,1,0.2,0.68,0.926605504587156
"Streptopelia turtur",0.44,1,0,171,8,0.111111111111111,0,0.111111111111111,1,0.2,0.68,0.926605504587156
"Streptopelia turtur",0.45,1,0,171,8,0.111111111111111,0,0.111111111111111,1,0.2,0.68,0.926605504587156
"Streptopelia turtur",0.46,1,0,171,8,0.111111111111111,0,0.111111111111111,1,0.2,0.68,0.926605504587156
"Streptopelia turtur",0.47,1,0,171,8,0.111111111111111,0,0.111111111111111,1,0.2,0.68,0.926605504587156
"Streptopelia turtur",0.48,1,0,171,8,0.111111111111111,0,0.111111111111111,1,0.2,0.68,0.926605504587156
"Streptopelia turtur",0.49,1,0,171,8,0.111111111111111,0,0.111111111111111,1,0.2,0.68,0.926605504587156
"Streptopelia turtur",0.5,1,0,171,8,0.111111111111111,0,0.111111111111111,1,0.2,0.68,0.926605504587156
"Streptopelia turtur",0.51,1,0,171,8,0.111111111111111,0,0.111111111111111,1,0.2,0.68,0.926605504587156
"Streptopelia turtur",0.52,1,0,171,8,0.111111111111111,0,0.111111111111111,1,0.2,0.68,0.926605504587156
"Streptopelia turtur",0.53,1,0,171,8,0.111111111111111,0,0.111111111111111,1,0.2,0.68,0.926605504587156
"Streptopelia turtur",0.54,1,0,171,8,0.111111111111111,0,0.111111111111111,1,0.2,0.68,0.926605504587156
"Streptopelia turtur",0.55,1,0,171,8,0.111111111111111,0,0.111111111111111,1,0.2,0.68,0.926605504587156
"Streptopelia turtur",0.56,1,0,171,8,0.111111111111111,0,0.111111111111111,1,0.2,0.68,0.926605504587156
"Streptopelia turtur",0.57,1,0,171,8,0.111111111111111,0,0.111111111111111,1,0.2,0.68,0.926605504587156
"Streptopelia turtur",0.58,1,0,171,8,0.111111111111111,0,0.111111111111111,1,0.2,0.68,0.926605504587156
"Streptopelia turtur",0.59,1,0,171,8,0.111111111111111,0,0.111111111111111,1,0.2,0.68,0.926605504587156
"Streptopelia turtur",0.6,1,0,171,8,0.111111111111111,0,0.111111111111111,1,0.2,0.68,0.926605504587156
"Streptopelia turtur",0.61,1,0,171,8,0.111111111111111,0,0.111111111111111,1,0.2,0.68,0.926605504587156
"Streptopelia turtur",0.62,1,0,171,8,0.111111111111111,0,0.111111111111111,1,0.2,0.68,0.926605504587156
"Streptopelia turtur",0.63,1,0,171,8,0.111111111111111,0,0.111111111111111,1,0.2,0.68,0.926605504587156
"Streptopelia turtur",0.64,1,0,171,8,0.111111111111111,0,0.111111111111111,1,0.2,0.68,0.926605504587156
"Streptopelia turtur",0.65,1,0,171,8,0.111111111111111,0,0.111111111111111,1,0.2,0.68,0.926605504587156
"Streptopelia turtur",0.66,1,0,171,8,0.111111111111111,0,0.111111111111111,1,0.2,0.68,0.926605504587156
"Streptopelia turtur",0.67,1,0,171,8,0.111111111111111,0,0.111111111111111,1,0.2,0.68,0.926605504587156
"Streptopelia turtur",0.68,1,0,171,8,0.111111111111111,0,0.111111111111111,1,0.2,0.68,0.926605504587156
"Streptopelia turtur",0.69,1,0,171,8,0.111111111111111,0,0.111111111111111,1,0.2,0.68,0.926605504587156
"Streptopelia turtur",0.7,1,0,171,8,0.111111111111111,0,0.111111111111111,1,0.2,0.68,0.926605504587156
"Streptopelia turtur",0.71,1,0,171,8,0.111111111111111,0,0.111111111111111,1,0.2,0.68,0.926605504587156
"Streptopelia turtur",0.72,1,0,171,8,0.111111111111111,0,0.111111111111111,1,0.2,0.68,0.926605504587156
"Streptopelia turtur",0.73,1,0,171,8,0.111111111111111,0,0.111111111111111,1,0.2,0.68,0.926605504587156
"Streptopelia turtur",0.74,1,0,171,8,0.111111111111111,0,0.111111111111111,1,0.2,0.68,0.926605504587156
"Streptopelia turtur",0.75,1,0,171,8,0.111111111111111,0,0.111111111111111,1,0.2,0.68,0.926605504587156
"Streptopelia turtur",0.76,1,0,171,8,0.111111111111111,0,0.111111111111111,1,0.2,0.68,0.926605504587156
"Streptopelia turtur",0.77,1,0,171,8,0.111111111111111,0,0.111111111111111,1,0.2,0.68,0.926605504587156
"Streptopelia turtur",0.78,1,0,171,8,0.111111111111111,0,0.111111111111111,1,0.2,0.68,0.926605504587156
"Streptopelia turtur",0.79,1,0,171,8,0.111111111111111,0,0.111111111111111,1,0.2,0.68,0.926605504587156
"Streptopelia turtur",0.8,1,0,171,8,0.111111111111111,0,0.111111111111111,1,0.2,0.68,0.926605504587156
"Streptopelia turtur",0.81,1,0,171,8,0.111111111111111,0,0.111111111111111,1,0.2,0.68,0.926605504587156
"Streptopelia turtur",0.82,1,0,171,8,0.111111111111111,0,0.111111111111111,1,0.2,0.68,0.926605504587156
"Streptopelia turtur",0.83,1,0,171,8,0.111111111111111,0,0.111111111111111,1,0.2,0.68,0.926605504587156
"Streptopelia turtur",0.84,1,0,171,8,0.111111111111111,0,0.111111111111111,1,0.2,0.68,0.926605504587156
"Streptopelia turtur",0.85,1,0,171,8,0.111111111111111,0,0.111111111111111,1,0.2,0.68,0.926605504587156
"Streptopelia turtur",0.86,1,0,171,8,0.111111111111111,0,0.111111111111111,1,0.2,0.68,0.926605504587156
"Streptopelia turtur",0.87,1,0,171,8,0.111111111111111,0,0.111111111111111,1,0.2,0.68,0.926605504587156
"Streptopelia turtur",0.88,1,0,171,8,0.111111111111111,0,0.111111111111111,1,0.2,0.68,0.926605504587156
"Streptopelia turtur",0.89,1,0,171,8,0.111111111111111,0,0.111111111111111,1,0.2,0.68,0.926605504587156
"Streptopelia turtur",0.9,1,0,171,8,0.111111111111111,0,0.111111111111111,1,0.2,0.68,0.926605504587156
"Streptopelia turtur",0.91,1,0,171,8,0.111111111111111,0,0.111111111111111,1,0.2,0.68,0.926605504587156
"Streptopelia turtur",0.92,1,0,171,8,0.111111111111111,0,0.111111111111111,1,0.2,0.68,0.926605504587156
"Streptopelia turtur",0.93,1,0,171,8,0.111111111111111,0,0.111111111111111,1,0.2,0.68,0.926605504587156
"Streptopelia turtur",0.94,1,0,171,8,0.111111111111111,0,0.111111111111111,1,0.2,0.68,0.926605504587156
"Streptopelia turtur",0.95,1,0,171,8,0.111111111111111,0,0.111111111111111,1,0.2,0.68,0.926605504587156
"Streptopelia turtur",0.96,0,0,171,9,0,0,0,NA,NA,NA,NA
"Streptopelia turtur",0.97,0,0,171,9,0,0,0,NA,NA,NA,NA
"Streptopelia turtur",0.98,0,0,171,9,0,0,0,NA,NA,NA,NA
"Streptopelia turtur",0.99,0,0,171,9,0,0,0,NA,NA,NA,NA
"Strix aluco",0.1,1,1,176,2,0.333333333333333,0.00564971751412429,0.333333333333333,0.5,0.4,0.485714285714286,0.497536945812808
"Strix aluco",0.11,1,1,176,2,0.333333333333333,0.00564971751412429,0.333333333333333,0.5,0.4,0.485714285714286,0.497536945812808
"Strix aluco",0.12,1,1,176,2,0.333333333333333,0.00564971751412429,0.333333333333333,0.5,0.4,0.485714285714286,0.497536945812808
"Strix aluco",0.13,1,1,176,2,0.333333333333333,0.00564971751412429,0.333333333333333,0.5,0.4,0.485714285714286,0.497536945812808
"Strix aluco",0.14,1,1,176,2,0.333333333333333,0.00564971751412429,0.333333333333333,0.5,0.4,0.485714285714286,0.497536945812808
"Strix aluco",0.15,1,1,176,2,0.333333333333333,0.00564971751412429,0.333333333333333,0.5,0.4,0.485714285714286,0.497536945812808
"Strix aluco",0.16,1,1,176,2,0.333333333333333,0.00564971751412429,0.333333333333333,0.5,0.4,0.485714285714286,0.497536945812808
"Strix aluco",0.17,1,1,176,2,0.333333333333333,0.00564971751412429,0.333333333333333,0.5,0.4,0.485714285714286,0.497536945812808
"Strix aluco",0.18,1,1,176,2,0.333333333333333,0.00564971751412429,0.333333333333333,0.5,0.4,0.485714285714286,0.497536945812808
"Strix aluco",0.19,1,1,176,2,0.333333333333333,0.00564971751412429,0.333333333333333,0.5,0.4,0.485714285714286,0.497536945812808
"Strix aluco",0.2,1,1,176,2,0.333333333333333,0.00564971751412429,0.333333333333333,0.5,0.4,0.485714285714286,0.497536945812808
"Strix aluco",0.21,1,1,176,2,0.333333333333333,0.00564971751412429,0.333333333333333,0.5,0.4,0.485714285714286,0.497536945812808
"Strix aluco",0.22,1,1,176,2,0.333333333333333,0.00564971751412429,0.333333333333333,0.5,0.4,0.485714285714286,0.497536945812808
"Strix aluco",0.23,1,1,176,2,0.333333333333333,0.00564971751412429,0.333333333333333,0.5,0.4,0.485714285714286,0.497536945812808
"Strix aluco",0.24,1,1,176,2,0.333333333333333,0.00564971751412429,0.333333333333333,0.5,0.4,0.485714285714286,0.497536945812808
"Strix aluco",0.25,1,1,176,2,0.333333333333333,0.00564971751412429,0.333333333333333,0.5,0.4,0.485714285714286,0.497536945812808
"Strix aluco",0.26,1,1,176,2,0.333333333333333,0.00564971751412429,0.333333333333333,0.5,0.4,0.485714285714286,0.497536945812808
"Strix aluco",0.27,1,1,176,2,0.333333333333333,0.00564971751412429,0.333333333333333,0.5,0.4,0.485714285714286,0.497536945812808
"Strix aluco",0.28,1,1,176,2,0.333333333333333,0.00564971751412429,0.333333333333333,0.5,0.4,0.485714285714286,0.497536945812808
