"recording_id","confidence_threshold","TP","FP","TN","FN","TPR","FPR","recall","precision","F_score1","F_score2","F_score3"
102,0.66,1,1,173,1,0.5,0.00574712643678161,0.5,0.5,0.5,0.5,0.5
102,0.67,1,1,173,1,0.5,0.00574712643678161,0.5,0.5,0.5,0.5,0.5
102,0.68,1,1,173,1,0.5,0.00574712643678161,0.5,0.5,0.5,0.5,0.5
102,0.69,1,1,173,1,0.5,0.00574712643678161,0.5,0.5,0.5,0.5,0.5
102,0.7,1,1,173,1,0.5,0.00574712643678161,0.5,0.5,0.5,0.5,0.5
102,0.71,1,1,173,1,0.5,0.00574712643678161,0.5,0.5,0.5,0.5,0.5
102,0.72,1,1,173,1,0.5,0.00574712643678161,0.5,0.5,0.5,0.5,0.5
102,0.73,1,1,173,1,0.5,0.00574712643678161,0.5,0.5,0.5,0.5,0.5
102,0.74,1,1,173,1,0.5,0.00574712643678161,0.5,0.5,0.5,0.5,0.5
102,0.75,1,1,173,1,0.5,0.00574712643678161,0.5,0.5,0.5,0.5,0.5
102,0.76,1,1,173,1,0.5,0.00574712643678161,0.5,0.5,0.5,0.5,0.5
102,0.77,1,0,173,2,0.333333333333333,0,0.333333333333333,1,0.5,0.894736842105263,0.980582524271845
102,0.78,1,0,173,2,0.333333333333333,0,0.333333333333333,1,0.5,0.894736842105263,0.980582524271845
102,0.79,1,0,173,2,0.333333333333333,0,0.333333333333333,1,0.5,0.894736842105263,0.980582524271845
102,0.8,1,0,173,2,0.333333333333333,0,0.333333333333333,1,0.5,0.894736842105263,0.980582524271845
102,0.81,1,0,173,2,0.333333333333333,0,0.333333333333333,1,0.5,0.894736842105263,0.980582524271845
102,0.82,1,0,173,2,0.333333333333333,0,0.333333333333333,1,0.5,0.894736842105263,0.980582524271845
102,0.83,1,0,173,2,0.333333333333333,0,0.333333333333333,1,0.5,0.894736842105263,0.980582524271845
102,0.84,1,0,173,2,0.333333333333333,0,0.333333333333333,1,0.5,0.894736842105263,0.980582524271845
102,0.85,1,0,173,2,0.333333333333333,0,0.333333333333333,1,0.5,0.894736842105263,0.980582524271845
102,0.86,1,0,173,2,0.333333333333333,0,0.333333333333333,1,0.5,0.894736842105263,0.980582524271845
102,0.87,1,0,173,2,0.333333333333333,0,0.333333333333333,1,0.5,0.894736842105263,0.980582524271845
102,0.88,1,0,173,2,0.333333333333333,0,0.333333333333333,1,0.5,0.894736842105263,0.980582524271845
102,0.89,1,0,173,2,0.333333333333333,0,0.333333333333333,1,0.5,0.894736842105263,0.980582524271845
102,0.9,1,0,173,2,0.333333333333333,0,0.333333333333333,1,0.5,0.894736842105263,0.980582524271845
102,0.91,1,0,173,2,0.333333333333333,0,0.333333333333333,1,0.5,0.894736842105263,0.980582524271845
102,0.92,1,0,173,2,0.333333333333333,0,0.333333333333333,1,0.5,0.894736842105263,0.980582524271845
102,0.93,1,0,173,2,0.333333333333333,0,0.333333333333333,1,0.5,0.894736842105263,0.980582524271845
102,0.94,1,0,173,2,0.333333333333333,0,0.333333333333333,1,0.5,0.894736842105263,0.980582524271845
102,0.95,0,0,173,3,0,0,0,NA,NA,NA,NA
102,0.96,0,0,173,3,0,0,0,NA,NA,NA,NA
102,0.97,0,0,173,3,0,0,0,NA,NA,NA,NA
102,0.98,0,0,173,3,0,0,0,NA,NA,NA,NA
102,0.99,0,0,173,3,0,0,0,NA,NA,NA,NA
103,0.1,0,0,176,0,NA,0,NA,NA,NA,NA,NA
103,0.11,0,0,176,0,NA,0,NA,NA,NA,NA,NA
103,0.12,0,0,176,0,NA,0,NA,NA,NA,NA,NA
103,0.13,0,0,176,0,NA,0,NA,NA,NA,NA,NA
103,0.14,0,0,176,0,NA,0,NA,NA,NA,NA,NA
103,0.15,0,0,176,0,NA,0,NA,NA,NA,NA,NA
103,0.16,0,0,176,0,NA,0,NA,NA,NA,NA,NA
103,0.17,0,0,176,0,NA,0,NA,NA,NA,NA,NA
103,0.18,0,0,176,0,NA,0,NA,NA,NA,NA,NA
103,0.19,0,0,176,0,NA,0,NA,NA,NA,NA,NA
103,0.2,0,0,176,0,NA,0,NA,NA,NA,NA,NA
103,0.21,0,0,176,0,NA,0,NA,NA,NA,NA,NA
103,0.22,0,0,176,0,NA,0,NA,NA,NA,NA,NA
103,0.23,0,0,176,0,NA,0,NA,NA,NA,NA,NA
103,0.24,0,0,176,0,NA,0,NA,NA,NA,NA,NA
103,0.25,0,0,176,0,NA,0,NA,NA,NA,NA,NA
103,0.26,0,0,176,0,NA,0,NA,NA,NA,NA,NA
103,0.27,0,0,176,0,NA,0,NA,NA,NA,NA,NA
103,0.28,0,0,176,0,NA,0,NA,NA,NA,NA,NA
103,0.29,0,0,176,0,NA,0,NA,NA,NA,NA,NA
103,0.3,0,0,176,0,NA,0,NA,NA,NA,NA,NA
103,0.31,0,0,176,0,NA,0,NA,NA,NA,NA,NA
103,0.32,0,0,176,0,NA,0,NA,NA,NA,NA,NA
103,0.33,0,0,176,0,NA,0,NA,NA,NA,NA,NA
103,0.34,0,0,176,0,NA,0,NA,NA,NA,NA,NA
103,0.35,0,0,176,0,NA,0,NA,NA,NA,NA,NA
103,0.36,0,0,176,0,NA,0,NA,NA,NA,NA,NA
103,0.37,0,0,176,0,NA,0,NA,NA,NA,NA,NA
103,0.38,0,0,176,0,NA,0,NA,NA,NA,NA,NA
103,0.39,0,0,176,0,NA,0,NA,NA,NA,NA,NA
103,0.4,0,0,176,0,NA,0,NA,NA,NA,NA,NA
103,0.41,0,0,176,0,NA,0,NA,NA,NA,NA,NA
103,0.42,0,0,176,0,NA,0,NA,NA,NA,NA,NA
103,0.43,0,0,176,0,NA,0,NA,NA,NA,NA,NA
103,0.44,0,0,176,0,NA,0,NA,NA,NA,NA,NA
103,0.45,0,0,176,0,NA,0,NA,NA,NA,NA,NA
103,0.46,0,0,176,0,NA,0,NA,NA,NA,NA,NA
103,0.47,0,0,176,0,NA,0,NA,NA,NA,NA,NA
103,0.48,0,0,176,0,NA,0,NA,NA,NA,NA,NA
103,0.49,0,0,176,0,NA,0,NA,NA,NA,NA,NA
103,0.5,0,0,176,0,NA,0,NA,NA,NA,NA,NA
103,0.51,0,0,176,0,NA,0,NA,NA,NA,NA,NA
103,0.52,0,0,176,0,NA,0,NA,NA,NA,NA,NA
103,0.53,0,0,176,0,NA,0,NA,NA,NA,NA,NA
103,0.54,0,0,176,0,NA,0,NA,NA,NA,NA,NA
103,0.55,0,0,176,0,NA,0,NA,NA,NA,NA,NA
103,0.56,0,0,176,0,NA,0,NA,NA,NA,NA,NA
103,0.57,0,0,176,0,NA,0,NA,NA,NA,NA,NA
103,0.58,0,0,176,0,NA,0,NA,NA,NA,NA,NA
103,0.59,0,0,176,0,NA,0,NA,NA,NA,NA,NA
103,0.6,0,0,176,0,NA,0,NA,NA,NA,NA,NA
103,0.61,0,0,176,0,NA,0,NA,NA,NA,NA,NA
103,0.62,0,0,176,0,NA,0,NA,NA,NA,NA,NA
103,0.63,0,0,176,0,NA,0,NA,NA,NA,NA,NA
103,0.64,0,0,176,0,NA,0,NA,NA,NA,NA,NA
103,0.65,0,0,176,0,NA,0,NA,NA,NA,NA,NA
103,0.66,0,0,176,0,NA,0,NA,NA,NA,NA,NA
103,0.67,0,0,176,0,NA,0,NA,NA,NA,NA,NA
103,0.68,0,0,176,0,NA,0,NA,NA,NA,NA,NA
103,0.69,0,0,176,0,NA,0,NA,NA,NA,NA,NA
103,0.7,0,0,176,0,NA,0,NA,NA,NA,NA,NA
103,0.71,0,0,176,0,NA,0,NA,NA,NA,NA,NA
103,0.72,0,0,176,0,NA,0,NA,NA,NA,NA,NA
103,0.73,0,0,176,0,NA,0,NA,NA,NA,NA,NA
103,0.74,0,0,176,0,NA,0,NA,NA,NA,NA,NA
103,0.75,0,0,176,0,NA,0,NA,NA,NA,NA,NA
103,0.76,0,0,176,0,NA,0,NA,NA,NA,NA,NA
103,0.77,0,0,176,0,NA,0,NA,NA,NA,NA,NA
103,0.78,0,0,176,0,NA,0,NA,NA,NA,NA,NA
103,0.79,0,0,176,0,NA,0,NA,NA,NA,NA,NA
103,0.8,0,0,176,0,NA,0,NA,NA,NA,NA,NA
103,0.81,0,0,176,0,NA,0,NA,NA,NA,NA,NA
103,0.82,0,0,176,0,NA,0,NA,NA,NA,NA,NA
103,0.83,0,0,176,0,NA,0,NA,NA,NA,NA,NA
103,0.84,0,0,176,0,NA,0,NA,NA,NA,NA,NA
103,0.85,0,0,176,0,NA,0,NA,NA,NA,NA,NA
103,0.86,0,0,176,0,NA,0,NA,NA,NA,NA,NA
103,0.87,0,0,176,0,NA,0,NA,NA,NA,NA,NA
103,0.88,0,0,176,0,NA,0,NA,NA,NA,NA,NA
103,0.89,0,0,176,0,NA,0,NA,NA,NA,NA,NA
103,0.9,0,0,176,0,NA,0,NA,NA,NA,NA,NA
103,0.91,0,0,176,0,NA,0,NA,NA,NA,NA,NA
103,0.92,0,0,176,0,NA,0,NA,NA,NA,NA,NA
103,0.93,0,0,176,0,NA,0,NA,NA,NA,NA,NA
103,0.94,0,0,176,0,NA,0,NA,NA,NA,NA,NA
103,0.95,0,0,176,0,NA,0,NA,NA,NA,NA,NA
103,0.96,0,0,176,0,NA,0,NA,NA,NA,NA,NA
103,0.97,0,0,176,0,NA,0,NA,NA,NA,NA,NA
103,0.98,0,0,176,0,NA,0,NA,NA,NA,NA,NA
103,0.99,0,0,176,0,NA,0,NA,NA,NA,NA,NA
104,0.1,1,0,173,2,0.333333333333333,0,0.333333333333333,1,0.5,0.894736842105263,0.980582524271845
104,0.11,1,0,173,2,0.333333333333333,0,0.333333333333333,1,0.5,0.894736842105263,0.980582524271845
104,0.12,1,0,173,2,0.333333333333333,0,0.333333333333333,1,0.5,0.894736842105263,0.980582524271845
104,0.13,1,0,173,2,0.333333333333333,0,0.333333333333333,1,0.5,0.894736842105263,0.980582524271845
104,0.14,1,0,173,2,0.333333333333333,0,0.333333333333333,1,0.5,0.894736842105263,0.980582524271845
104,0.15,1,0,173,2,0.333333333333333,0,0.333333333333333,1,0.5,0.894736842105263,0.980582524271845
104,0.16,1,0,173,2,0.333333333333333,0,0.333333333333333,1,0.5,0.894736842105263,0.980582524271845
104,0.17,1,0,173,2,0.333333333333333,0,0.333333333333333,1,0.5,0.894736842105263,0.980582524271845
104,0.18,0,0,173,3,0,0,0,NA,NA,NA,NA
104,0.19,0,0,173,3,0,0,0,NA,NA,NA,NA
104,0.2,0,0,173,3,0,0,0,NA,NA,NA,NA
104,0.21,0,0,173,3,0,0,0,NA,NA,NA,NA
104,0.22,0,0,173,3,0,0,0,NA,NA,NA,NA
104,0.23,0,0,173,3,0,0,0,NA,NA,NA,NA
104,0.24,0,0,173,3,0,0,0,NA,NA,NA,NA
104,0.25,0,0,173,3,0,0,0,NA,NA,NA,NA
104,0.26,0,0,173,3,0,0,0,NA,NA,NA,NA
104,0.27,0,0,173,3,0,0,0,NA,NA,NA,NA
104,0.28,0,0,173,3,0,0,0,NA,NA,NA,NA
104,0.29,0,0,173,3,0,0,0,NA,NA,NA,NA
104,0.3,0,0,173,3,0,0,0,NA,NA,NA,NA
104,0.31,0,0,173,3,0,0,0,NA,NA,NA,NA
104,0.32,0,0,173,3,0,0,0,NA,NA,NA,NA
104,0.33,0,0,173,3,0,0,0,NA,NA,NA,NA
104,0.34,0,0,173,3,0,0,0,NA,NA,NA,NA
104,0.35,0,0,173,3,0,0,0,NA,NA,NA,NA
104,0.36,0,0,173,3,0,0,0,NA,NA,NA,NA
104,0.37,0,0,173,3,0,0,0,NA,NA,NA,NA
104,0.38,0,0,173,3,0,0,0,NA,NA,NA,NA
104,0.39,0,0,173,3,0,0,0,NA,NA,NA,NA
104,0.4,0,0,173,3,0,0,0,NA,NA,NA,NA
104,0.41,0,0,173,3,0,0,0,NA,NA,NA,NA
104,0.42,0,0,173,3,0,0,0,NA,NA,NA,NA
104,0.43,0,0,173,3,0,0,0,NA,NA,NA,NA
104,0.44,0,0,173,3,0,0,0,NA,NA,NA,NA
104,0.45,0,0,173,3,0,0,0,NA,NA,NA,NA
104,0.46,0,0,173,3,0,0,0,NA,NA,NA,NA
104,0.47,0,0,173,3,0,0,0,NA,NA,NA,NA
104,0.48,0,0,173,3,0,0,0,NA,NA,NA,NA
104,0.49,0,0,173,3,0,0,0,NA,NA,NA,NA
104,0.5,0,0,173,3,0,0,0,NA,NA,NA,NA
104,0.51,0,0,173,3,0,0,0,NA,NA,NA,NA
104,0.52,0,0,173,3,0,0,0,NA,NA,NA,NA
104,0.53,0,0,173,3,0,0,0,NA,NA,NA,NA
104,0.54,0,0,173,3,0,0,0,NA,NA,NA,NA
104,0.55,0,0,173,3,0,0,0,NA,NA,NA,NA
104,0.56,0,0,173,3,0,0,0,NA,NA,NA,NA
104,0.57,0,0,173,3,0,0,0,NA,NA,NA,NA
104,0.58,0,0,173,3,0,0,0,NA,NA,NA,NA
104,0.59,0,0,173,3,0,0,0,NA,NA,NA,NA
104,0.6,0,0,173,3,0,0,0,NA,NA,NA,NA
104,0.61,0,0,173,3,0,0,0,NA,NA,NA,NA
104,0.62,0,0,173,3,0,0,0,NA,NA,NA,NA
104,0.63,0,0,173,3,0,0,0,NA,NA,NA,NA
104,0.64,0,0,173,3,0,0,0,NA,NA,NA,NA
104,0.65,0,0,173,3,0,0,0,NA,NA,NA,NA
104,0.66,0,0,173,3,0,0,0,NA,NA,NA,NA
104,0.67,0,0,173,3,0,0,0,NA,NA,NA,NA
104,0.68,0,0,173,3,0,0,0,NA,NA,NA,NA
104,0.69,0,0,173,3,0,0,0,NA,NA,NA,NA
104,0.7,0,0,173,3,0,0,0,NA,NA,NA,NA
104,0.71,0,0,173,3,0,0,0,NA,NA,NA,NA
104,0.72,0,0,173,3,0,0,0,NA,NA,NA,NA
104,0.73,0,0,173,3,0,0,0,NA,NA,NA,NA
104,0.74,0,0,173,3,0,0,0,NA,NA,NA,NA
104,0.75,0,0,173,3,0,0,0,NA,NA,NA,NA
104,0.76,0,0,173,3,0,0,0,NA,NA,NA,NA
104,0.77,0,0,173,3,0,0,0,NA,NA,NA,NA
104,0.78,0,0,173,3,0,0,0,NA,NA,NA,NA
104,0.79,0,0,173,3,0,0,0,NA,NA,NA,NA
104,0.8,0,0,173,3,0,0,0,NA,NA,NA,NA
104,0.81,0,0,173,3,0,0,0,NA,NA,NA,NA
104,0.82,0,0,173,3,0,0,0,NA,NA,NA,NA
104,0.83,0,0,173,3,0,0,0,NA,NA,NA,NA
104,0.84,0,0,173,3,0,0,0,NA,NA,NA,NA
104,0.85,0,0,173,3,0,0,0,NA,NA,NA,NA
104,0.86,0,0,173,3,0,0,0,NA,NA,NA,NA
104,0.87,0,0,173,3,0,0,0,NA,NA,NA,NA
104,0.88,0,0,173,3,0,0,0,NA,NA,NA,NA
104,0.89,0,0,173,3,0,0,0,NA,NA,NA,NA
104,0.9,0,0,173,3,0,0,0,NA,NA,NA,NA
104,0.91,0,0,173,3,0,0,0,NA,NA,NA,NA
104,0.92,0,0,173,3,0,0,0,NA,NA,NA,NA
104,0.93,0,0,173,3,0,0,0,NA,NA,NA,NA
104,0.94,0,0,173,3,0,0,0,NA,NA,NA,NA
104,0.95,0,0,173,3,0,0,0,NA,NA,NA,NA
104,0.96,0,0,173,3,0,0,0,NA,NA,NA,NA
104,0.97,0,0,173,3,0,0,0,NA,NA,NA,NA
104,0.98,0,0,173,3,0,0,0,NA,NA,NA,NA
104,0.99,0,0,173,3,0,0,0,NA,NA,NA,NA
105,0.1,0,0,174,2,0,0,0,NA,NA,NA,NA
105,0.11,0,0,174,2,0,0,0,NA,NA,NA,NA
105,0.12,0,0,174,2,0,0,0,NA,NA,NA,NA
105,0.13,0,0,174,2,0,0,0,NA,NA,NA,NA
105,0.14,0,0,174,2,0,0,0,NA,NA,NA,NA
105,0.15,0,0,174,2,0,0,0,NA,NA,NA,NA
105,0.16,0,0,174,2,0,0,0,NA,NA,NA,NA
105,0.17,0,0,174,2,0,0,0,NA,NA,NA,NA
105,0.18,0,0,174,2,0,0,0,NA,NA,NA,NA
105,0.19,0,0,174,2,0,0,0,NA,NA,NA,NA
105,0.2,0,0,174,2,0,0,0,NA,NA,NA,NA
105,0.21,0,0,174,2,0,0,0,NA,NA,NA,NA
105,0.22,0,0,174,2,0,0,0,NA,NA,NA,NA
105,0.23,0,0,174,2,0,0,0,NA,NA,NA,NA
105,0.24,0,0,174,2,0,0,0,NA,NA,NA,NA
105,0.25,0,0,174,2,0,0,0,NA,NA,NA,NA
105,0.26,0,0,174,2,0,0,0,NA,NA,NA,NA
105,0.27,0,0,174,2,0,0,0,NA,NA,NA,NA
105,0.28,0,0,174,2,0,0,0,NA,NA,NA,NA
105,0.29,0,0,174,2,0,0,0,NA,NA,NA,NA
105,0.3,0,0,174,2,0,0,0,NA,NA,NA,NA
105,0.31,0,0,174,2,0,0,0,NA,NA,NA,NA
105,0.32,0,0,174,2,0,0,0,NA,NA,NA,NA
105,0.33,0,0,174,2,0,0,0,NA,NA,NA,NA
105,0.34,0,0,174,2,0,0,0,NA,NA,NA,NA
105,0.35,0,0,174,2,0,0,0,NA,NA,NA,NA
105,0.36,0,0,174,2,0,0,0,NA,NA,NA,NA
105,0.37,0,0,174,2,0,0,0,NA,NA,NA,NA
105,0.38,0,0,174,2,0,0,0,NA,NA,NA,NA
105,0.39,0,0,174,2,0,0,0,NA,NA,NA,NA
105,0.4,0,0,174,2,0,0,0,NA,NA,NA,NA
105,0.41,0,0,174,2,0,0,0,NA,NA,NA,NA
105,0.42,0,0,174,2,0,0,0,NA,NA,NA,NA
105,0.43,0,0,174,2,0,0,0,NA,NA,NA,NA
105,0.44,0,0,174,2,0,0,0,NA,NA,NA,NA
105,0.45,0,0,174,2,0,0,0,NA,NA,NA,NA
105,0.46,0,0,174,2,0,0,0,NA,NA,NA,NA
105,0.47,0,0,174,2,0,0,0,NA,NA,NA,NA
105,0.48,0,0,174,2,0,0,0,NA,NA,NA,NA
105,0.49,0,0,174,2,0,0,0,NA,NA,NA,NA
105,0.5,0,0,174,2,0,0,0,NA,NA,NA,NA
105,0.51,0,0,174,2,0,0,0,NA,NA,NA,NA
105,0.52,0,0,174,2,0,0,0,NA,NA,NA,NA
105,0.53,0,0,174,2,0,0,0,NA,NA,NA,NA
105,0.54,0,0,174,2,0,0,0,NA,NA,NA,NA
105,0.55,0,0,174,2,0,0,0,NA,NA,NA,NA
105,0.56,0,0,174,2,0,0,0,NA,NA,NA,NA
105,0.57,0,0,174,2,0,0,0,NA,NA,NA,NA
105,0.58,0,0,174,2,0,0,0,NA,NA,NA,NA
105,0.59,0,0,174,2,0,0,0,NA,NA,NA,NA
105,0.6,0,0,174,2,0,0,0,NA,NA,NA,NA
105,0.61,0,0,174,2,0,0,0,NA,NA,NA,NA
105,0.62,0,0,174,2,0,0,0,NA,NA,NA,NA
105,0.63,0,0,174,2,0,0,0,NA,NA,NA,NA
105,0.64,0,0,174,2,0,0,0,NA,NA,NA,NA
105,0.65,0,0,174,2,0,0,0,NA,NA,NA,NA
105,0.66,0,0,174,2,0,0,0,NA,NA,NA,NA
105,0.67,0,0,174,2,0,0,0,NA,NA,NA,NA
105,0.68,0,0,174,2,0,0,0,NA,NA,NA,NA
105,0.69,0,0,174,2,0,0,0,NA,NA,NA,NA
105,0.7,0,0,174,2,0,0,0,NA,NA,NA,NA
105,0.71,0,0,174,2,0,0,0,NA,NA,NA,NA
105,0.72,0,0,174,2,0,0,0,NA,NA,NA,NA
105,0.73,0,0,174,2,0,0,0,NA,NA,NA,NA
105,0.74,0,0,174,2,0,0,0,NA,NA,NA,NA
105,0.75,0,0,174,2,0,0,0,NA,NA,NA,NA
105,0.76,0,0,174,2,0,0,0,NA,NA,NA,NA
105,0.77,0,0,174,2,0,0,0,NA,NA,NA,NA
105,0.78,0,0,174,2,0,0,0,NA,NA,NA,NA
105,0.79,0,0,174,2,0,0,0,NA,NA,NA,NA
105,0.8,0,0,174,2,0,0,0,NA,NA,NA,NA
105,0.81,0,0,174,2,0,0,0,NA,NA,NA,NA
105,0.82,0,0,174,2,0,0,0,NA,NA,NA,NA
105,0.83,0,0,174,2,0,0,0,NA,NA,NA,NA
105,0.84,0,0,174,2,0,0,0,NA,NA,NA,NA
105,0.85,0,0,174,2,0,0,0,NA,NA,NA,NA
105,0.86,0,0,174,2,0,0,0,NA,NA,NA,NA
105,0.87,0,0,174,2,0,0,0,NA,NA,NA,NA
105,0.88,0,0,174,2,0,0,0,NA,NA,NA,NA
105,0.89,0,0,174,2,0,0,0,NA,NA,NA,NA
105,0.9,0,0,174,2,0,0,0,NA,NA,NA,NA
105,0.91,0,0,174,2,0,0,0,NA,NA,NA,NA
105,0.92,0,0,174,2,0,0,0,NA,NA,NA,NA
105,0.93,0,0,174,2,0,0,0,NA,NA,NA,NA
105,0.94,0,0,174,2,0,0,0,NA,NA,NA,NA
105,0.95,0,0,174,2,0,0,0,NA,NA,NA,NA
105,0.96,0,0,174,2,0,0,0,NA,NA,NA,NA
105,0.97,0,0,174,2,0,0,0,NA,NA,NA,NA
105,0.98,0,0,174,2,0,0,0,NA,NA,NA,NA
105,0.99,0,0,174,2,0,0,0,NA,NA,NA,NA
106,0.1,1,0,175,0,1,0,1,1,1,1,1
106,0.11,1,0,175,0,1,0,1,1,1,1,1
106,0.12,1,0,175,0,1,0,1,1,1,1,1
106,0.13,1,0,175,0,1,0,1,1,1,1,1
106,0.14,1,0,175,0,1,0,1,1,1,1,1
106,0.15,1,0,175,0,1,0,1,1,1,1,1
106,0.16,1,0,175,0,1,0,1,1,1,1,1
106,0.17,1,0,175,0,1,0,1,1,1,1,1
106,0.18,1,0,175,0,1,0,1,1,1,1,1
106,0.19,1,0,175,0,1,0,1,1,1,1,1
106,0.2,1,0,175,0,1,0,1,1,1,1,1
106,0.21,1,0,175,0,1,0,1,1,1,1,1
106,0.22,1,0,175,0,1,0,1,1,1,1,1
106,0.23,1,0,175,0,1,0,1,1,1,1,1
106,0.24,1,0,175,0,1,0,1,1,1,1,1
106,0.25,1,0,175,0,1,0,1,1,1,1,1
106,0.26,1,0,175,0,1,0,1,1,1,1,1
106,0.27,1,0,175,0,1,0,1,1,1,1,1
106,0.28,1,0,175,0,1,0,1,1,1,1,1
106,0.29,1,0,175,0,1,0,1,1,1,1,1
106,0.3,1,0,175,0,1,0,1,1,1,1,1
106,0.31,1,0,175,0,1,0,1,1,1,1,1
106,0.32,1,0,175,0,1,0,1,1,1,1,1
106,0.33,1,0,175,0,1,0,1,1,1,1,1
106,0.34,1,0,175,0,1,0,1,1,1,1,1
106,0.35,1,0,175,0,1,0,1,1,1,1,1
106,0.36,1,0,175,0,1,0,1,1,1,1,1
106,0.37,1,0,175,0,1,0,1,1,1,1,1
106,0.38,1,0,175,0,1,0,1,1,1,1,1
106,0.39,1,0,175,0,1,0,1,1,1,1,1
106,0.4,1,0,175,0,1,0,1,1,1,1,1
106,0.41,1,0,175,0,1,0,1,1,1,1,1
106,0.42,1,0,175,0,1,0,1,1,1,1,1
106,0.43,1,0,175,0,1,0,1,1,1,1,1
106,0.44,1,0,175,0,1,0,1,1,1,1,1
106,0.45,1,0,175,0,1,0,1,1,1,1,1
106,0.46,1,0,175,0,1,0,1,1,1,1,1
106,0.47,1,0,175,0,1,0,1,1,1,1,1
106,0.48,1,0,175,0,1,0,1,1,1,1,1
106,0.49,1,0,175,0,1,0,1,1,1,1,1
106,0.5,1,0,175,0,1,0,1,1,1,1,1
106,0.51,1,0,175,0,1,0,1,1,1,1,1
106,0.52,1,0,175,0,1,0,1,1,1,1,1
106,0.53,1,0,175,0,1,0,1,1,1,1,1
106,0.54,1,0,175,0,1,0,1,1,1,1,1
106,0.55,1,0,175,0,1,0,1,1,1,1,1
106,0.56,1,0,175,0,1,0,1,1,1,1,1
106,0.57,1,0,175,0,1,0,1,1,1,1,1
106,0.58,1,0,175,0,1,0,1,1,1,1,1
106,0.59,1,0,175,0,1,0,1,1,1,1,1
106,0.6,1,0,175,0,1,0,1,1,1,1,1
106,0.61,1,0,175,0,1,0,1,1,1,1,1
106,0.62,1,0,175,0,1,0,1,1,1,1,1
106,0.63,1,0,175,0,1,0,1,1,1,1,1
106,0.64,1,0,175,0,1,0,1,1,1,1,1
106,0.65,1,0,175,0,1,0,1,1,1,1,1
106,0.66,1,0,175,0,1,0,1,1,1,1,1
106,0.67,1,0,175,0,1,0,1,1,1,1,1
106,0.68,1,0,175,0,1,0,1,1,1,1,1
106,0.69,1,0,175,0,1,0,1,1,1,1,1
106,0.7,1,0,175,0,1,0,1,1,1,1,1
106,0.71,1,0,175,0,1,0,1,1,1,1,1
106,0.72,1,0,175,0,1,0,1,1,1,1,1
106,0.73,1,0,175,0,1,0,1,1,1,1,1
106,0.74,1,0,175,0,1,0,1,1,1,1,1
106,0.75,1,0,175,0,1,0,1,1,1,1,1
106,0.76,1,0,175,0,1,0,1,1,1,1,1
106,0.77,1,0,175,0,1,0,1,1,1,1,1
106,0.78,1,0,175,0,1,0,1,1,1,1,1
106,0.79,1,0,175,0,1,0,1,1,1,1,1
106,0.8,1,0,175,0,1,0,1,1,1,1,1
106,0.81,1,0,175,0,1,0,1,1,1,1,1
106,0.82,1,0,175,0,1,0,1,1,1,1,1
106,0.83,1,0,175,0,1,0,1,1,1,1,1
106,0.84,1,0,175,0,1,0,1,1,1,1,1
106,0.85,1,0,175,0,1,0,1,1,1,1,1
106,0.86,1,0,175,0,1,0,1,1,1,1,1
106,0.87,1,0,175,0,1,0,1,1,1,1,1
106,0.88,1,0,175,0,1,0,1,1,1,1,1
106,0.89,1,0,175,0,1,0,1,1,1,1,1
106,0.9,1,0,175,0,1,0,1,1,1,1,1
106,0.91,1,0,175,0,1,0,1,1,1,1,1
106,0.92,1,0,175,0,1,0,1,1,1,1,1
106,0.93,1,0,175,0,1,0,1,1,1,1,1
106,0.94,0,0,175,1,0,0,0,NA,NA,NA,NA
106,0.95,0,0,175,1,0,0,0,NA,NA,NA,NA
106,0.96,0,0,175,1,0,0,0,NA,NA,NA,NA
106,0.97,0,0,175,1,0,0,0,NA,NA,NA,NA
106,0.98,0,0,175,1,0,0,0,NA,NA,NA,NA
106,0.99,0,0,175,1,0,0,0,NA,NA,NA,NA
107,0.1,3,1,170,2,0.6,0.00584795321637427,0.6,0.75,0.666666666666667,0.739130434782609,0.748148148148148
107,0.11,3,1,170,2,0.6,0.00584795321637427,0.6,0.75,0.666666666666667,0.739130434782609,0.748148148148148
107,0.12,2,1,170,3,0.4,0.00584795321637427,0.4,0.666666666666667,0.5,0.641509433962264,0.662295081967213
107,0.13,2,1,170,3,0.4,0.00584795321637427,0.4,0.666666666666667,0.5,0.641509433962264,0.662295081967213
107,0.14,2,1,170,3,0.4,0.00584795321637427,0.4,0.666666666666667,0.5,0.641509433962264,0.662295081967213
107,0.15,1,1,170,4,0.2,0.00584795321637427,0.2,0.5,0.285714285714286,0.459459459459459,0.492682926829268
107,0.16,1,1,170,4,0.2,0.00584795321637427,0.2,0.5,0.285714285714286,0.459459459459459,0.492682926829268
107,0.17,1,1,170,4,0.2,0.00584795321637427,0.2,0.5,0.285714285714286,0.459459459459459,0.492682926829268
107,0.18,1,1,170,4,0.2,0.00584795321637427,0.2,0.5,0.285714285714286,0.459459459459459,0.492682926829268
107,0.19,1,1,170,4,0.2,0.00584795321637427,0.2,0.5,0.285714285714286,0.459459459459459,0.492682926829268
107,0.2,1,1,170,4,0.2,0.00584795321637427,0.2,0.5,0.285714285714286,0.459459459459459,0.492682926829268
107,0.21,1,0,171,4,0.2,0,0.2,1,0.333333333333333,0.80952380952381,0.961904761904762
107,0.22,1,0,171,4,0.2,0,0.2,1,0.333333333333333,0.80952380952381,0.961904761904762
